obs,setting,type,staff_case,res_case,deaths ,Date_
106,Pan Pacific Park Recreation Center,Homeless Shelter,1,0,0,2020-12-17
107,PATH - A Bridge Home Los Feliz,Homeless Shelter,0,3,0,2020-12-17
108,PATH - A Bridge Home Venice,Homeless Shelter,1,0,0,2020-12-17
109,PATH - Lodi,Homeless Shelter,0,1,0,2020-12-17
110,PATH - Madison,Homeless Shelter,4,0,0,2020-12-17
111,Pathways Transitional Housing,Homeless Shelter,0,1,0,2020-12-17
112,Proyecto Pastoral Women's Shelter,Homeless Shelter,1,0,0,2020-12-17
113,Rainbow Apartments,Single Room Occupancy Housing,0,1,0,2020-12-17
114,Rossmore Hotel,Single Room Occupancy Housing,1,0,0,2020-12-17
115,Russ Hotel,Single Room Occupancy Housing,3,3,0,2020-12-17
116,S. Mark Taper Foundation Family Living Center,Homeless Shelter,1,3,0,2020-12-17
117,Safe Landing For Families - SOLA Open Air,Homeless Shelter,0,4,1,2020-12-17
118,Salvation Army A Bridge Home Imperial Highway,Homeless Shelter,2,4,0,2020-12-17
119,Salvation Army Bell Shelter,Homeless Shelter,12,34,1,2020-12-17
120,"Salvation Army Bell Shelter, JWCH Recuperative Care Program",Recuperative Care Center,4,0,0,2020-12-17
121,Salvation Army Lily's Place,Homeless Shelter,1,0,0,2020-12-17
122,Salvation Army Santa Fe Springs,Homeless Shelter,0,1,0,2020-12-17
123,Salvation Army The Way In,Homeless Shelter,2,1,0,2020-12-17
124,Senator Hotel,Single Room Occupancy Housing,1,0,0,2020-12-17
125,Serenity Recuperative Care,Recuperative Care Center,2,1,0,2020-12-17
126,Serenity Recuperative Care - ELA,Recuperative Care Center,0,1,0,2020-12-17
127,Serenity Recuperative Care - Lakeview Terrace,Homeless Shelter,1,0,0,2020-12-17
128,Simone Hotel,Single Room Occupancy Housing,0,1,0,2020-12-17
129,Solar Recuperative Care,Homeless Shelter,0,1,0,2020-12-17
130,St. George Hotel,Single Room Occupancy Housing,0,1,0,2020-12-17
131,"St. Matthew's Lutheran Church, North Hollywood",Homeless Service Provider,0,1,0,2020-12-17
132,Sustainable Futures Project Interim Housing Shelter,Homeless Shelter,1,0,0,2020-12-17
